
2023/09/29 (15:19:06) | ===> btop++ v.1.2.13
2023/09/29 (15:19:06) | ERROR: Invalid size of hex value: 001E1E2E

2023/10/02 (12:00:49) | ===> btop++ v.1.2.13
2023/10/02 (12:00:49) | ERROR: Invalid size of hex value: 001E1E2E

2023/10/02 (17:23:37) | ===> btop++ v.1.2.13
2023/10/02 (17:23:37) | ERROR: Invalid size of hex value: 001E1E2E

2023/10/28 (10:59:38) | ===> btop++ v.1.2.13
2023/10/28 (10:59:38) | ERROR: Invalid size of hex value: 001E1E2E

2023/10/30 (18:49:51) | ===> btop++ v.1.2.13
2023/10/30 (18:49:51) | ERROR: Invalid size of hex value: 001E1E2E

2023/10/30 (19:22:08) | ===> btop++ v.1.2.13
2023/10/30 (19:22:08) | ERROR: Invalid size of hex value: 001E1E2E

2023/11/02 (23:39:06) | ===> btop++ v.1.2.13
2023/11/02 (23:39:06) | ERROR: Invalid size of hex value: 001E1E2E

2023/11/03 (00:44:24) | ===> btop++ v.1.2.13
2023/11/03 (00:44:24) | ERROR: Invalid size of hex value: 001E1E2E

2023/11/27 (19:03:25) | ===> btop++ v.1.2.13
2023/11/27 (19:03:25) | ERROR: Invalid size of hex value: 001E1E2E

2023/11/27 (19:04:18) | ===> btop++ v.1.2.13
2023/11/27 (19:04:18) | ERROR: Invalid size of hex value: 001E1E2E

2023/12/04 (15:26:29) | ===> btop++ v.1.2.13
2023/12/04 (15:26:29) | ERROR: Invalid size of hex value: 001E1E2E

2023/12/06 (17:12:34) | ===> btop++ v.1.2.13
2023/12/06 (17:12:34) | ERROR: Invalid size of hex value: 001E1E2E

2023/12/06 (17:24:52) | ===> btop++ v.1.2.13
2023/12/06 (17:24:52) | ERROR: Invalid size of hex value: 001E1E2E

2023/12/21 (10:30:55) | ===> btop++ v.1.2.13
2023/12/21 (10:30:55) | ERROR: Invalid size of hex value: 001E1E2E

2023/12/21 (10:46:15) | ===> btop++ v.1.2.13
